472.fipstwo,f3161,f13161
549.fipstwo,f13317***,f13317
610.statevalue,A,IA
1565.statecounty,MS_awrence,MS_Lawrence
3070.countytwo,kOanogan ,Okanogan 
760.fipstwo,yf17125,f17125
415.statecounty,GA_Catoofsa,GA_Catoosa
309.countytwo,Svummit ,Summit 
658.county,dams ,Adams 
1031.statevalue,Y,KY
873.county,Scot t,Scott 
1417.fipstwo,f29109,f29019
1955.statevalue,MN,NM
1808.statevalue,DN,ND
2424.statevalue,CS,SC
2215.county,Washingtn ,Washington 
2291.statecounty,PA_Lawrencie,PA_Lawrence
1761.statecounty,NC_Wiles,NC_Wilkes
682.statevalue,DI,ID
1446.statecounty,MO_rGeene,MO_Greene
3049.statecounty,WA_Bentn,WA_Benton
805.statecounty,N_Bartholomew,IN_Bartholomew
2827.statevalue,XT,TX
1633.fipstwo,f30049***,f30049
3065.fipstwo,f53i037,f53037
2695.fipstwo,f48617,f48167
1632.county,Latke ,Lake 
652.statevalue,A,IA
335.statecounty,L_Clay,FL_Clay
1085.countytwo,Monro ,Monroe 
186.countytwo,Nacvajo ,Navajo 
18.countytwo,Noth Slope Borough,North Slope Borough
3132.statecounty,WI_ePpin,WI_Pepin
1036.county,Frankli n,Franklin 
3040.countytwo,Lamoillme ,Lamoille 
1351.statecounty,MN_Iotasca,MN_Itasca
65.county,Jackuson ,Jackson 
884.county,Vandebrurgh ,Vanderburgh 
844.countytwo,Knoxe ,Knox 
3219.fipstwo,f56031,f56013
1740.countytwo,Randoplh ,Randolph 
1222.countytwo,Androscoggin ***,Androscoggin 
1916.county,Hillsborogh ,Hillsborough 
290.countytwo,Mineal ,Mineral 
1810.statecounty,N_DSteele,ND_Steele
2953.county,Hnaover ,Hanover 
1579.statecounty,MS_Okibbeha,MS_Oktibbeha
1958.statecounty,NM_Lua,NM_Luna
653.statevalue,AI,IA
2956.fipstwo,f51098,f51089
2051.countytwo,Westchfester ,Westchester 
2810.statevalue,TeX,TX
1072.county,Madigson ,Madison 
1079.statecounty,KY_McCreayr,KY_McCreary
35.county,Bullokc ,Bullock 
2540.statevalue,ToN,TN
1271.fipstwo,f2p6067,f26067
741.statecounty,IL_Jfeferson,IL_Jefferson
1032.statecounty,KY_sEtill,KY_Estill
