groupnumbernoprecedingzeroes(long),grouptitle,groupnumberandtitle,seriesnumbernoprecedingzeroes(long),seriestitle,seriesnumberandtitle
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,6,CORRECTIONAL INdSTITUTION ADMINISTRATION,0006-CORRECTIONAL INSTITUTION ADMINISTRATION
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-nMISCELLANEOUS OCCUPATIONS GROUP,7,CORRECTIONAL OFFCIER,0007-CORRECTIONAL OFFICER
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS mGROUP,11,BOND SALES PROMOTION SERIES,0011-BOND SALES PROMOTION ESRIES
0,MISCELLANEOUS OCCUPTAIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,17,EXPOSIVES SAFETY,0017-EXPLOSIVES SAFETY
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,18,SAFETY AND OCCUPATIONAL HEALTH MANAGEMENT,0018-SAFETY AND OCCUPATIONAL HEALTH MANAGEMENT
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,19,SAFETY TECHNICIAN,0019-SAFETY TCHNICIAN
0,MISCELLANEOUS OCCUAPTIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,20,COMMUNITY PLANNING,0020-COMMUNITY PLANNING
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,21,COMMUNITY PLANNING TECHNICeIAN,0021-COMMUNITY PANNING TECHNICIAN
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROnUP,23,OUTDOOR RECREATION PLANNING,0023-OUTDOOR RExCREATION PLANNING
0,MISCELLANEOUS OCCUPAIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROxUP,25,PARK RANGEdR,0025-PARK RANGER
