EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,ObjectId
32536,1729675,REGULAR,BOURBON STREET CAFE,,850 DIXIE HWY,,LOUISVILLE,KY,40210,FOOD SERVICE,2023/01/19 00:00:00,98,A,BOURBON STREET CAFE,,1
31464,1740130,REGULAR,JOHNSON TRADITIONAL MIDDLE SCHOOL,,2509 WILSON AVE,,LOUISVILLE,KY,40210,SCHOOL CAFETERIA OR FOOD SERVICE,2023/03/08 00:00:00,98,A,JOHNSON TRADITIONAL MIDDLE SCHOOL,,2
31402,1789612,REGULAR,BLAKE ELEMENTARY SCHOOL,,3801 BONAVENTURE BLVD,,LOUISVILLE,KY,40219,SCHOOL CAFETERIA OR FOOD SERVICE,2023/09/19 00:00:00,100,A,BLAKE ELEMENTARY SCHOOL,,3
31835,1798591,REGULAR,ST. GABRIEL SCHOOL,,5503 BARDSTOWN RD,,LOUISVILLE,KY,40291,SCHOOL CAFETERIA OR FOOD SERVICE,2023/10/19 00:00:00,99,A,ST. GABRIEL SCHOOL,,4
31838,1739726,REGULAR,ST. JAMES SCHOOL,,1818 EDENSIDE DR,,LOUISVILLE,KY,40204,SCHOOL CAFETERIA OR FOOD SERVICE,2023/03/07 00:00:00,99,A,ST. JAMES SCHOOL,,5
31464,1787179,REGULAR,JOHNSON TRADITIONAL MIDDLE SCHOOL,,2509 WILSON AVE,,LOUISVILLE,KY,40210,SCHOOL CAFETERIA OR FOOD SERVICE,2023/09/11 00:00:00,97,A,JOHNSON TRADITIONAL MIDDLE SCHOOL,,6
32536,1778160,REGULAR,BOURBON STREET CAFE,,850 DIXIE HWY,,LOUISVILLE,KY,40210,FOOD SERVICE,2023/08/07 00:00:00,100,A,BOURBON STREET CAFE,,7
31838,1788023,REGULAR,ST. JAMES SCHOOL,,1818 EDENSIDE DR,,LOUISVILLE,KY,40204,SCHOOL CAFETERIA OR FOOD SERVICE,2023/09/13 00:00:00,100,A,ST. JAMES SCHOOL,,8
31337,1727114,FOLLOWUP,SIGNATURE HEALTHCARE OF EAST LOUISVILLE,,2529 SIX MILE LN,,LOUISVILLE,KY,40220,FOOD SERVICE (HOSPITAL / NURSING HOME,2023/01/05 00:00:00,100,A,SIGNATURE HEALTHCARE OF EAST LOUISVILLE,,9
31404,1741363,REGULAR,IROQUOIS HIGH SCHOOL,,4615 TAYLOR BLVD,,LOUISVILLE,KY,40215,SCHOOL CAFETERIA OR FOOD SERVICE,2023/03/14 00:00:00,100,A,IROQUOIS HIGH SCHOOL,,10
31466,1740059,REGULAR,PLEASURE RIDGE PARK MAGNET SCHOOL,,5901 GREENWOOD RD,,LOUISVILLE,KY,40258,SCHOOL CAFETERIA OR FOOD SERVICE,2023/03/08 00:00:00,100,A,PLEASURE RIDGE PARK MAGNET SCHOOL,,11
32536,1770897,SURVEY,BOURBON STREET CAFE,,850 DIXIE HWY,,LOUISVILLE,KY,40210,FOOD SERVICE,2023/07/11 00:00:00,98,,BOURBON STREET CAFE,,12
31843,1739825,REGULAR,NOTRE DAME ACADEMY,,1925 LEWISTON DR,,LOUISVILLE,KY,40216,SCHOOL CAFETERIA OR FOOD SERVICE,2023/03/07 00:00:00,100,A,NOTRE DAME ACADEMY,,13
31404,1788583,REGULAR,IROQUOIS HIGH SCHOOL,,4615 TAYLOR BLVD,,LOUISVILLE,KY,40215,SCHOOL CAFETERIA OR FOOD SERVICE,2023/09/15 00:00:00,100,A,IROQUOIS HIGH SCHOOL,,14
31337,1766740,REGULAR,SIGNATURE HEALTHCARE OF EAST LOUISVILLE,,2529 SIX MILE LN,,LOUISVILLE,KY,40220,FOOD SERVICE (HOSPITAL / NURSING HOME,2023/06/26 00:00:00,94,A,SIGNATURE HEALTHCARE OF EAST LOUISVILLE,,15
31466,1788276,REGULAR,PLEASURE RIDGE PARK MAGNET SCHOOL,,5901 GREENWOOD RD,,LOUISVILLE,KY,40258,SCHOOL CAFETERIA OR FOOD SERVICE,2023/09/14 00:00:00,100,A,PLEASURE RIDGE PARK MAGNET SCHOOL,,16
32553,1753070,REGULAR,CAPTAIN D'S #3329,,3937 DIXIE HWY,,LOUISVILLE,KY,40217,FOOD SERVICE,2023/05/03 00:00:00,94,C,CAPTAIN D'S #3329,,17
31843,1786909,REGULAR,NOTRE DAME ACADEMY,,1925 LEWISTON DR,,LOUISVILLE,KY,40216,SCHOOL CAFETERIA OR FOOD SERVICE,2023/09/07 00:00:00,100,A,NOTRE DAME ACADEMY,,18
31407,1736236,REGULAR,WESLEY MANOR,,5012 E MANSLICK RD,,LOUISVILLE,KY,40219,FOOD SERVICE (HOSPITAL / NURSING HOME,2023/02/16 00:00:00,97,A,WESLEY MANOR,,19
31360,1745738,REGULAR,LA PETITE ACADEMY,,9505 US HWY 42,,LOUISVILLE,KY,40059,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2023/04/03 00:00:00,99,A,LA PETITE ACADEMY,,20
31474,1738079,REGULAR,PORTLAND ELEMENTARY SCHOOL,,3410 NORTHWESTERN PKWY,,LOUISVILLE,KY,40212,SCHOOL CAFETERIA OR FOOD SERVICE,2023/02/27 00:00:00,99,A,PORTLAND ELEMENTARY SCHOOL,,21
32553,1754405,REGULAR,CAPTAIN D'S #3329,,3937 DIXIE HWY,,LOUISVILLE,KY,40217,FOOD SERVICE,2023/05/09 00:00:00,100,A,CAPTAIN D'S #3329,,22
