vaccinationdate,age_range,first_daily_dose,first_daily_dose_cumulative,second_daily_dose,second_daily_dose_cumulative,single_daily_dose,single_daily_dose_cumulative,thirddailydose,thirddailydosecumulative,combined_all_doses,combined_all_doses_cumulative,fully_vaccinated,fully_vaccinated_cumulative,firstboosterdailydose,firstboosterdailydosecumulative,secondboosterdailydose,secondboosterdailydosecumulative
12/14/2020 10:00:00 AM,18-49,15.0,15,2.0,2,,0,,0,,0,2.0,2,,0,,0
12/14/2020 10:00:00 AM,50-64,5.0,5,,0,,0,,0,,0,,0,,0,,0
12/14/2020 10:00:00 AM,65 and Older,3.0,3,,0,,0,,0,,0,,0,,0,,0
12/15/2020 10:00:00 AM,18-49,53.0,68,1.0,3,,0,,0,,0,1.0,3,,0,,0
12/15/2020 10:00:00 AM,50-64,52.0,57,2.0,2,,0,,0,,0,2.0,2,,0,,0
12/15/2020 10:00:00 AM,65 and Older,6.0,9,1.0,1,,0,,0,,0,1.0,1,,0,,0
12/16/2020 10:00:00 AM,18-49,679.0,747,9.0,12,,0,,0,,0,9.0,12,,0,,0
12/16/2020 10:00:00 AM,50-64,222.0,279,3.0,5,,0,,0,,0,3.0,5,,0,,0
12/16/2020 10:00:00 AM,65 and Older,59.0,68,1.0,2,,0,,0,,0,1.0,2,,0,,0
12/17/2020 10:00:00 AM,12-17,1.0,1,,0,,0,,0,,0,,0,,0,,0
12/17/2020 10:00:00 AM,18-49,1133.0,1880,12.0,24,,0,,0,,0,12.0,24,,0,,0
12/17/2020 10:00:00 AM,50-64,460.0,739,3.0,8,,0,,0,,0,3.0,8,,0,,0
12/17/2020 10:00:00 AM,65 and Older,116.0,184,2.0,4,,0,,0,,0,2.0,4,,0,,0
12/18/2020 10:00:00 AM,18-49,2288.0,4168,16.0,40,,0,,0,,0,16.0,40,,0,,0
12/18/2020 10:00:00 AM,50-64,1141.0,1880,5.0,13,,0,,0,,0,5.0,13,,0,,0
12/18/2020 10:00:00 AM,65 and Older,240.0,424,1.0,5,,0,,0,,0,1.0,5,,0,,0
12/19/2020 10:00:00 AM,18-49,752.0,4920,7.0,47,,0,,0,,0,7.0,47,,0,,0
12/19/2020 10:00:00 AM,50-64,368.0,2248,3.0,16,,0,,0,,0,3.0,16,,0,,0
12/19/2020 10:00:00 AM,65 and Older,81.0,505,1.0,6,,0,,0,,0,1.0,6,,0,,0
12/20/2020 10:00:00 AM,18-49,371.0,5291,11.0,58,,0,,0,,0,11.0,58,,0,,0
12/20/2020 10:00:00 AM,50-64,147.0,2395,8.0,24,,0,,0,,0,8.0,24,,0,,0
12/20/2020 10:00:00 AM,65 and Older,34.0,539,,6,,0,,0,,0,,6,,0,,0
12/21/2020 10:00:00 AM,18-49,2856.0,8147,34.0,92,,0,,0,,0,34.0,92,,0,,0
12/21/2020 10:00:00 AM,50-64,1284.0,3679,12.0,36,,0,,0,,0,12.0,36,,0,,0
12/21/2020 10:00:00 AM,65 and Older,288.0,827,2.0,8,,0,,0,,0,2.0,8,,0,,0
12/22/2020 10:00:00 AM,12-17,9.0,10,1.0,1,,0,,0,,0,1.0,1,,0,,0
12/22/2020 10:00:00 AM,18-49,3567.0,11714,29.0,121,,0,,0,,0,29.0,121,,0,,0
12/22/2020 10:00:00 AM,50-64,2065.0,5744,15.0,51,,0,,0,,0,15.0,51,,0,,0
12/22/2020 10:00:00 AM,65 and Older,1390.0,2217,3.0,11,,0,,0,,0,3.0,11,,0,,0
12/23/2020 10:00:00 AM,12-17,2.0,12,,1,,0,,0,,0,,1,,0,,0
12/23/2020 10:00:00 AM,18-49,3753.0,15467,41.0,162,,0,,0,,0,41.0,162,,0,,0
12/23/2020 10:00:00 AM,50-64,2133.0,7877,13.0,64,,0,,0,,0,13.0,64,,0,,0
12/23/2020 10:00:00 AM,65 and Older,775.0,2992,8.0,19,,0,,0,,0,8.0,19,,0,,0
12/24/2020 10:00:00 AM,12-17,,12,2.0,3,,0,,0,,0,2.0,3,,0,,0
12/24/2020 10:00:00 AM,18-49,2010.0,17477,22.0,184,,0,,0,,0,22.0,184,,0,,0
12/24/2020 10:00:00 AM,50-64,1083.0,8960,12.0,76,,0,,0,,0,12.0,76,,0,,0
12/24/2020 10:00:00 AM,65 and Older,309.0,3301,2.0,21,,0,,0,,0,2.0,21,,0,,0
12/25/2020 10:00:00 AM,12-17,9.0,21,,3,,0,,0,,0,,3,,0,,0
12/25/2020 10:00:00 AM,18-49,297.0,17774,1.0,185,,0,,0,,0,1.0,185,,0,,0
12/25/2020 10:00:00 AM,50-64,340.0,9300,4.0,80,,0,,0,,0,4.0,80,,0,,0
12/25/2020 10:00:00 AM,65 and Older,393.0,3694,,21,,0,,0,,0,,21,,0,,0
12/26/2020 10:00:00 AM,18-49,948.0,18722,8.0,193,,0,,0,,0,8.0,193,,0,,0
12/26/2020 10:00:00 AM,50-64,706.0,10006,5.0,85,,0,,0,,0,5.0,85,,0,,0
12/26/2020 10:00:00 AM,65 and Older,545.0,4239,1.0,22,,0,,0,,0,1.0,22,,0,,0
12/27/2020 10:00:00 AM,12-17,2.0,23,,3,,0,,0,,0,,3,,0,,0
12/27/2020 10:00:00 AM,18-49,817.0,19539,12.0,205,,0,,0,,0,12.0,205,,0,,0
12/27/2020 10:00:00 AM,50-64,549.0,10555,7.0,92,,0,,0,,0,7.0,92,,0,,0
12/27/2020 10:00:00 AM,65 and Older,513.0,4752,1.0,23,,0,,0,,0,1.0,23,,0,,0
12/28/2020 10:00:00 AM,12-17,4.0,27,,3,,0,,0,,0,,3,,0,,0
12/28/2020 10:00:00 AM,18-49,5629.0,25168,48.0,253,,0,,0,,0,48.0,253,,0,,0
12/28/2020 10:00:00 AM,50-64,3139.0,13694,22.0,114,,0,,0,,0,22.0,114,,0,,0
12/28/2020 10:00:00 AM,65 and Older,1310.0,6062,9.0,32,,0,,0,,0,9.0,32,1.0,1,,0
12/29/2020 10:00:00 AM,12-17,3.0,30,,3,,0,,0,,0,,3,,0,,0
12/29/2020 10:00:00 AM,18-49,6345.0,31513,49.0,302,,0,,0,,0,49.0,302,,0,,0
12/29/2020 10:00:00 AM,50-64,3907.0,17601,26.0,140,,0,,0,,0,26.0,140,,0,,0
12/29/2020 10:00:00 AM,65 and Older,1822.0,7884,14.0,46,,0,,0,,0,14.0,46,,1,,0
12/30/2020 10:00:00 AM,12-17,2.0,32,1.0,4,,0,,0,,0,1.0,4,,0,,0
12/30/2020 10:00:00 AM,18-49,7804.0,39317,79.0,381,,0,,0,,0,79.0,381,1.0,1,,0
12/30/2020 10:00:00 AM,50-64,4344.0,21945,35.0,175,,0,,0,,0,35.0,175,,0,,0
12/30/2020 10:00:00 AM,65 and Older,1488.0,9372,10.0,56,,0,,0,,0,10.0,56,,1,,0
12/31/2020 10:00:00 AM,12-17,2.0,34,,4,,0,,0,,0,,4,,0,,0
12/31/2020 10:00:00 AM,18-49,4683.0,44000,40.0,421,,0,,0,,0,40.0,421,,1,,0
12/31/2020 10:00:00 AM,50-64,2563.0,24508,23.0,198,,0,,0,,0,23.0,198,,0,,0
12/31/2020 10:00:00 AM,65 and Older,931.0,10303,11.0,67,,0,,0,,0,11.0,67,,1,,0
01/01/2021 10:00:00 AM,12-17,35.0,69,1.0,5,,0,,0,,0,1.0,5,1.0,1,,0
01/01/2021 10:00:00 AM,18-49,1887.0,45887,110.0,531,,0,,0,,0,110.0,531,4.0,5,,0
01/01/2021 10:00:00 AM,50-64,1107.0,25615,57.0,255,,0,,0,,0,57.0,255,7.0,7,,0
01/01/2021 10:00:00 AM,65 and Older,1419.0,11722,22.0,89,,0,,0,,0,22.0,89,1.0,2,,0
01/02/2021 10:00:00 AM,12-17,4.0,73,,5,,0,,0,,0,,5,,1,,0
01/02/2021 10:00:00 AM,18-49,1909.0,47796,36.0,567,,0,,0,,0,36.0,567,,5,,0
01/02/2021 10:00:00 AM,50-64,978.0,26593,13.0,268,,0,,0,,0,13.0,268,1.0,8,,0
01/02/2021 10:00:00 AM,65 and Older,920.0,12642,6.0,95,,0,,0,,0,6.0,95,,2,,0
01/03/2021 10:00:00 AM,12-17,2.0,75,1.0,6,,0,,0,,0,1.0,6,,1,,0
01/03/2021 10:00:00 AM,18-49,1785.0,49581,76.0,643,,0,,0,,0,76.0,643,,5,,0
01/03/2021 10:00:00 AM,50-64,1089.0,27682,28.0,296,,0,,0,,0,28.0,296,,8,,0
01/03/2021 10:00:00 AM,65 and Older,845.0,13487,9.0,104,,0,,0,,0,9.0,104,,2,,0
01/04/2021 10:00:00 AM,12-17,9.0,84,,6,,0,,0,,0,,6,,1,,0
01/04/2021 10:00:00 AM,18-49,7308.0,56889,289.0,932,,0,,0,,0,289.0,932,1.0,6,,0
01/04/2021 10:00:00 AM,50-64,4542.0,32224,134.0,430,,0,,0,,0,134.0,430,1.0,9,,0
01/04/2021 10:00:00 AM,65 and Older,2531.0,16018,32.0,136,,0,,0,,0,32.0,136,1.0,3,,0
01/05/2021 10:00:00 AM,12-17,13.0,97,1.0,7,,0,,0,,0,1.0,7,,1,,0
01/05/2021 10:00:00 AM,18-49,6742.0,63631,520.0,1452,,0,,0,,0,520.0,1452,1.0,7,,0
