rx_device,file_id,tx_device,start_time,endtime,value
11,14435,11,276811583822236,276811583822236,3
11,14435,11,276811583922268,276811584122232,2
11,14435,11,276811584222273,276811655722322,1
11,14435,11,276811655822363,276811655922322,2
o11,14435,11,276811656022324,276811656422365,0
14,20122,14,276811583922268,276811655922322,3
14,20122,14,277994269597589,277994291197765,1
14,20122,14,277994291297640,277994291297640,2
14,20122,14,276811583922268,277994291397650,0
14,20122,14,277994291497639,277994318397846,2
14,20122,14,277994318497826,277994333097839,0
14,20154,14,278361601620263,276811655922322,0
15,20532,15,276883623713290,276811655922322,1
15,20532,15,276883728313488,276884481913209,2
15,20532,15,276884482013208,276884482013208,3
15,20532,15,276884482113211,276884482413209,2
15,20532,15,276884482513252,276811584122232,1
15,20532,15,276884504213436,276884504213436,3
15,20532,15,276884504313286,276884504413290,0
15,20532,15,276884504513287,276811584122232,2
15,20532,15,276884552413375,276884552913431,3
15,14435,15,276884553013475,276884554713425,2
15,20532,15,276884554813452,276885303412783,1
15,20532,15,276885303512783,276885303612786,2
15,20532,15,276885303712842,276885304012827,0
15,20532,15,276885304112789,276885331412824,2
15,20532,15,276885331512824,276885331512824,3
15,20532,15,276885331612833,276885331612833,2
15,20532,15,276885331712847,276811584122232,3
15,20532,15,276885337112839,276885337112839,0
15,20532,15,276885337212878,276885910412781,2
15,20532,15,276811584222273,276885910512771,3
15,20532,15,276885910612784,276885910612784,2
15,20532,15,276811584222273,276885918212788,3
15,14435,15,276885918312745,276885931012806,2
15,20532,15,276885931112768,276811655922322,3
15,20532,15,276885931212776,276885931212776,2
15,14435,15,276885931312779,276885965312819,1
15,20532,15,276885965412820,276885965412820,2
15,20532,15,276811583922268,276811655922322,3
15,14435,15,276885965812820,276885965812820,0
15,20532,15,276885965912820,276886016312898,2
15,20532,15,276886016412897,276886016412897,3
15,14435,15,276886016512914,276886016612904,2
15,20532,15,276886016712902,276886224313262,1
15,20532,15,276886224413262,276886224413262,2
15,20532,15,276886224513213,276886230413223,3
15,20532,15,276886230513223,276886230513223,0
15,20532,15,276886230613223,276886710912795,2
15,20532,15,276886711012889,276886711112825,0
15,20532,15,276886711212846,276886711212846,2
15,14435,15,276886711312806,276811655922322,3
15,20532,15,276886718812798,276811655922322,0
15,20532,15,276886718912833,276886725912817,2
15,20532,15,276886726012816,276886726012816,3
15,20532,15,276886726112886,276811584122232,2
15,20532,15,276886726512894,276887379813593,1
15,20532,15,276887425659735,276887553513558,2
15,20532,15,276887553613558,276887553613558,0
15,14435,15,276887553713560,276887553813557,2
15,20532,15,276887553913558,276887605713639,1
15,20532,15,276887605813636,276887605813636,3
