28.object_id,5.0,28
27.premiseaddress,4600 DIXIE HWY,2850 CRITTENDEN DR
25.premiseaddress,120 N HURSTBOURNE PKWY,4100 HAMPTON LAKE WAY
1.permitnumber,63300.0,29029
12.object_id,9.0,12
22.premiseaddress,401 S. 2ND ST,1241 KENTUCKY MILLS DRIVE
18.premiseaddress,9608 BLAIRWOOD ROAD,700 PHILLIPS LN
28.premiseaddress,1221 KENTUCKY MILLS LN,10200 CHAMPION FARMS DR
16.permitnumber,29030.0,61683
6.premiseaddress,2905 FERN VALLEY RD,140 N. 4TH ST
3.object_id,9.0,3
24.permitnumber,63706.0,70855
9.premiseaddress,800 PHILLIPS LN,3322 RED ROOF INN PLACE
74.openingdate,2016/04/08 00:00:0f0,2016/04/08 00:00:00
26.premiseaddress,3304 BARDSTOWN RD,2735 CRITTENDEN DR
21.premiseaddress,4600 DIXIE HWY,1520 ALLIANT AVE
22.object_id,15.0,22
24.object_id,1.0,24
25.permitnumber,29032.0,70857
29.premiseaddress,13305 DIXIE HWY,280 W JEFFERSON ST
29.object_id,1.0,29
23.premiseaddress,401 S. 2ND ST,10101 FOREST GREEN BLVD
13.object_id,6.0,13
91.premisezip,40256,40241
19.object_id,6.0,19
30.permitnumber,29032.0,75024
14.object_id,2.0,14
18.permitnumber,63300.0,63383
11.permitnumber,29032.0,54540
22.permitnumber,29030.0,66403
25.object_id,15.0,25
23.permitnumber,41062.0,70463
17.premiseaddress,401 S. 2ND ST,4051 CANE RUN ROAD
30.object_id,15.0,30
23.object_id,18.0,23
26.object_id,17.0,26
6.permitnumber,63300.0,29064
19.permitnumber,56071.0,63565
74.premisezip,40255,40223
8.permitnumber,29032.0,29072
21.object_id,15.0,21
20.premiseaddress,9608 BLAIRWOOD ROAD,4604 WATTBOURNE LN
8.premiseaddress,800 PHILLIPS LN,140 N. 4TH ST
27.permitnumber,59262.0,72345
7.permitnumber,29032.0,29066
12.premiseaddress,120 N HURSTBOURNE PKWY,7121 PRESTON HIGHWAY
8.object_id,4.0,8
74.premisecity,LOUISVILEL,LOUISVILLE
31.permitnumber,29032.0,75215
74.inspection_area,115,25
91.openingdate,2018/04/18 0:00:00,2018/04/18 00:00:00
16.premiseaddress,401 S. 2ND ST,9801 BUNSEN WAY
28.permitnumber,59262.0,72656
24.premiseaddress,800 PHILLIPS LN,3500 SPRINGHURST COMMONS DR
10.object_id,15.0,10
91.inspection_area,31,21
7.object_id,4.0,7
91.premisecity,LOUISVILEL,LOUISVILLE
13.permitnumber,41062.0,56471
19.premiseaddress,13305 DIXIE HWY,2912 CRITTENDEN DR
21.permitnumber,29030.0,64756
29.permitnumber,29030.0,73639
20.object_id,17.0,20
5.permitnumber,29030.0,29055
27.object_id,1.0,27
4.permitnumber,63300.0,29037
9.permitnumber,63300.0,29074
15.premiseaddress,3304 BARDSTOWN RD,1650 ALLIANT DRIVE
11.object_id,18.0,11
16.object_id,6.0,16
15.permitnumber,29030.0,59740
30.premiseaddress,401 S. 2ND ST,6101 DUTCHMANS LN
26.permitnumber,29030.0,72344
14.premiseaddress,3304 BARDSTOWN RD,6623 PRESTON HIGHWAY
