facilitytype,facilitytypedescription,subtype,subtypedescription,permitnumber,premisename,premiseaddress,premisecity,premisestate,premisezip,inspection_area,openingdate,object_id
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,29029.0,LITTLE BIFF'S MOTEL,13305 DIXIE HWY,LOUISVILLE,KY,40272,23,1988/06/02 00:00:00,1.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,29030.0,LOUISVILLE MANOR MOTEL,4600 DIXIE HWY,LOUISVILLE,KY,40216,23,1988/06/02 00:00:00,2.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,29032.0,ECONO LODGE,401 S. 2ND ST,LOUISVILLE,KY,40202,24,1988/06/02 00:00:00,3.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,29037.0,BUDGETEL INN,3304 BARDSTOWN RD,LOUISVILLE,KY,40218,27,1988/06/02 00:00:00,4.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,29055.0,DAYS INN AIRPORT,2905 FERN VALLEY RD,LOUISVILLE,KY,40213,27,1988/06/02 00:00:00,5.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,29064.0,GALT HOUSE,140 N. 4TH ST,LOUISVILLE,KY,40202,24,1988/06/02 00:00:00,6.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,29066.0,RESIDENCE INN BY MARRIOTT,120 N HURSTBOURNE PKWY,LOUISVILLE,KY,40222,25,2010/01/11 00:00:00,7.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,29072.0,GALT HOUSE EAST,140 N. 4TH ST,LOUISVILLE,KY,40202,24,1988/06/02 00:00:00,8.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,29074.0,RED ROOF INN #7134,3322 RED ROOF INN PLACE,LOUISVILLE,KY,40218,27,1988/06/02 00:00:00,9.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,41062.0,COURTYARD MARRIOTT,9608 BLAIRWOOD ROAD,LOUISVILLE,KY,40222,29,1990/01/22 00:00:00,10.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,54540.0,HAMPTON INN,800 PHILLIPS LN,LOUISVILLE,KY,40209,28,1995/12/21 00:00:00,11.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,56071.0,INTOWN SUITES PRESTON HWY,7121 PRESTON HIGHWAY,LOUISVILLE,KY,40219,27,2009/03/18 00:00:00,12.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,56471.0,MICROTEL INN,1221 KENTUCKY MILLS LN,LOUISVILLE,KY,40299,22,1996/10/30 00:00:00,13.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,59262.0,INTOWN SUITES LOUISVILLE SO.,6623 PRESTON HIGHWAY,LOUISVILLE,KY,40219,27,2009/03/18 00:00:00,14.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,59740.0,EXTENDED STAY AMERICA #9659,1650 ALLIANT DRIVE,LOUISVILLE,KY,40299,22,1998/03/09 00:00:00,15.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,61683.0,EXTENDED STAY AMERICA #4,9801 BUNSEN WAY,JEFFERSONTOWN,KY,40299,29,1999/01/29 00:00:00,16.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,63300.0,DAYS INN,4051 CANE RUN ROAD,LOUISVILLE,KY,40216,23,1999/12/13 00:00:00,17.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,63383.0,RESIDENCE INN AIRPORT,700 PHILLIPS LN,LOUISVILLE,KY,40209,28,1999/12/28 00:00:00,18.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,63565.0,COMFORT INN & SUITES,2912 CRITTENDEN DR,LOUISVILLE,KY,40209,23,2000/02/02 00:00:00,19.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,63706.0,INTOWN SUITES HURSTBOURNE,4604 WATTBOURNE LN,LOUISVILLE,KY,40299,22,2009/03/18 00:00:00,20.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,64756.0,HOLIDAY INN EXPRESS,1520 ALLIANT AVE,LOUISVILLE,KY,40299,22,2000/09/21 00:00:00,21.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,66403.0,COUNTRY INN & SUITES,1241 KENTUCKY MILLS DRIVE,LOUISVILLE,KY,40299,22,2001/08/10 00:00:00,22.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,70463.0,SPRINGHILL SUITES,10101 FOREST GREEN BLVD,LOUISVILLE,KY,40223,25,2003/09/16 00:00:00,23.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,70855.0,RESIDENCE INN,3500 SPRINGHURST COMMONS DR,LOUISVILLE,KY,40241,21,2003/11/26 00:00:00,24.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,70857.0,HAMPTON INN,4100 HAMPTON LAKE WAY,LOUISVILLE,KY,40241,21,2003/11/26 00:00:00,25.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,72344.0,HILTON GARDEN INN AIRPORT,2735 CRITTENDEN DR,LOUISVILLE,KY,40209,23,2004/08/11 00:00:00,26.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,72345.0,FOUR POINTS BY SHERATON,2850 CRITTENDEN DR,LOUISVILLE,KY,40209,23,2004/08/11 00:00:00,27.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,72656.0,COURTYARD BY MARRIOTT,10200 CHAMPION FARMS DR,LOUISVILLE,KY,40241,21,2004/09/22 00:00:00,28.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,73639.0,MARRIOTT LOUISVILLE DOWNTOWN,280 W JEFFERSON ST,LOUISVILLE,KY,40202,24,2005/03/21 00:00:00,29.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,75024.0,EXTENDED STAY AMERICA #325,6101 DUTCHMANS LN,LOUISVILLE,KY,40205,26,2005/11/08 00:00:00,30.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,75215.0,HOWARD JOHNSON,709 PHILLIPS LN,LOUISVILLE,KY,40209,28,2005/12/14 00:00:00,31.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,75380.0,HAMPTON INN & SUITES LOUISVILLE EAST,1451 ALLIANT AVE,LOUISVILLE,KY,40299,22,2006/01/26 00:00:00,32.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,75650.0,HOMEWOOD SUITES,9401 HURSTBOURNE TRACE,LOUISVILLE,KY,40222,25,2006/03/08 00:00:00,33.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,75780.0,21C MUSEUM HOTEL,700 W. MAIN ST,LOUISVILLE,KY,40202,24,2006/03/19 00:00:00,34.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,75858.0,RESIDENCE INN LOUISVILLE DWNTN,333 E. MARKET ST,LOUISVILLE,KY,40202,26,2006/03/28 00:00:00,35.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,78976.0,ECONO LODGE,6109 PRESTON HWY,LOUISVILLE,KY,40219,27,2007/08/21 00:00:00,36.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,79117.0,INTOWN SUITES EXTENDED STAY,11405 WESTPORT ROAD,LOUISVILLE,KY,40241,25,2009/03/18 00:00:00,37.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,79486.0,SPRINGHILL SUITES - LOUISVILLE AIRPORT,820 PHILLIPS LN,LOUISVILLE,KY,40209,28,2007/11/30 00:00:00,38.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,79548.0,ECONOLODGE,9340 BLAIRWOOD RD,LOUISVILLE,KY,40222,29,2007/12/13 00:00:00,39.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,79635.0,"BROWN HOTEL, THE",335 W BROADWAY,LOUISVILLE,KY,40202,28,2008/01/11 00:00:00,40.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,79657.0,DRURY INN & SUITES,9501 BLAIRWOOD RD,LOUISVILLE,KY,40222,29,2008/01/04 00:00:00,41.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,80752.0,FAIRFIELD INN & SUITES,100 E JEFFERSON ST,LOUISVILLE,KY,40202,26,2008/04/11 00:00:00,42.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,80755.0,SPRINGHILL SUITES,132 E JEFFERSON ST,LOUISVILLE,KY,40202,26,2008/04/11 00:00:00,43.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,81041.0,HOLIDAY INN AIRPORT & FAIR - EXPO CENTER,447 FARMINGTON AVE,LOUISVILLE,KY,40209,23,2008/05/14 00:00:00,44.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,81676.0,HILTON GARDEN INN,9850 PARK PLAZA,LOUISVILLE,KY,40241,21,2008/07/23 00:00:00,45.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,82632.0,COLLIER'S MOTEL,4812 BARDSTOWN RD,LOUISVILLE,KY,40291,22,2008/12/11 00:00:00,46.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,83011.0,CROWNE PLAZA,830 PHILLIPS LN,LOUISVILLE,KY,40209,28,2009/02/01 00:00:00,47.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,83095.0,EMBASSY SUITES,9940 CORPORATE CAMPUS DR,LOUISVILLE,KY,40223,25,2009/03/09 00:00:00,48.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,83110.0,COURTYARD BY MARRIOTT,819 PHILLIPS LN,LOUISVILLE,KY,40209,28,2009/03/16 00:00:00,49.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,84275.0,HOLIDAY INN LOU. AIRPORT SOUTH,6551 PARAMOUNT PARK DR,LOUSIVILLE,KY,40213,27,2009/08/13 00:00:00,50.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,84811.0,HOTEL LOUISVILLE,120 W BROADWAY,LOUISVILLE,KY,40202,24,2009/11/17 00:00:00,51.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,90652.0,LEGACY HOTEL AT SBTS,2825 LEXINGTON RD,LOUISVILLE,KY,40280,26,2012/05/16 00:00:00,52.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,91386.0,WOODSPRING SUITES,10400 BROOKRIDGE VILLAGE BLVD,LOUISVILLE,KY,40291,22,2012/08/17 00:00:00,53.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,92413.0,HOME TOWNE STUDIOS,4540 TAYLORSVILLE RD,LOUISVILLE,KY,40220,29,2013/01/28 00:00:00,54.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,92782.0,BAYMONT INN & SUITES LOUISVILLE SOUTH,6515 SIGNATURE DR,LOUISVILLE,KY,40213,27,2016/04/18 00:00:00,55.0
