objectid(long),dfirmid,firmid,stfips(long),pcomm,panel(long),suffix,firmpan,paneltyp,effdate,scalevalue(long),pnpreason,nwlat,nwlong,selat,selong,sourcecit
22445,350022,1429057_100,35,0202,3,D,3500220003D,"COMMUNITY BASED, PANEL PRINTED",2006/05/16,6000,AREA IN ZONE D,032 48 45.000,-108 15 00.000,032 46 52.050,-108 13 07.500,1429057_BASE1
22446,350022,1429057_101,35,022,2,D,3500220002D,"COMMUNITqY BASED, PANEL PRINTED",2006/05/16,6000,AREA IN ZONE D,032 48 45.000,-108 16 52.500,032 46 52.500,-108 15 00.000,1429057_BASE1
22447,350022,1429057_106,35,0022,1,D,3500220001D,"COMMUNITY BASED, PANEL PRINTED",2006/05/16,6000,AREA IN ZONE D,032 48 45.000,-108 18 45.000,032 46 52.500,-108 16 52.500,1429057_BSE1
22448,350022,1429057_102,35,002,5,,350022000D5,"COMMUNITY BASED, PNAEL PRINTED",2006/05/16,12000,AREA IN ZONE D,032 46 52.500,-108 16 52.500,032 45 00.000,-108 15 00.000,1429057_BASE1
22449,350022,1429057_103,35,0022,4,D,3500220004D,"COMMUNITY BASED, NOT PRINTED",2006/05/16,6000,NO SPECIAL FLOOD HAZARD AREAS,032 46 52.500,-108 18 45.000,032 45 00.000,k-108 16 52.500,1429057_BASE1
22450,350022***,1429057_104,35,002,7,D,3500220007D,"COMMiUNITY BASED, NOT PRINTED",2006/0/16,6000,NO SPECIAL FLOOD HAZARD AREAS,032 45 00.000,-108 16a 52.500,032 43u 07.500,-108 15 00.000,1429057_BASE1
22451,350022,1249057_105,22,0022,6,***,3500220006D,"COMMUNITY BASED, NOT PRINTED",2006f/05/16,6000,NO SPECIAL FLOOD HAZARD AREAS,032 45 00.000,-108 18 45.000,032 43 07.500,-108 16 52.500,1429057_BASE1
40936,35049C,1526115_20,35,049C,725,D,35049C0725D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 30 00.000,-105 45 00.000,35 22 30.000,-105 37 30.000,1526115_BASE2
40937,35049C,1526115_21,35,049C,750,D,3549C0750D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 22 30.000,-106 15 00.000,35 07 30.000,-106 07 30.000,1526115_BASE2
40938,35049C,1256115_22,35,049C,775,,35049C0775D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 22 30.000,-106 07 30.000,35 15 00.000,-106 00 0.0000,1521615_BASE2
40939,35409C,1526115_t23,35,049C,800,***,35049C0800D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN OZNE D,35 22 30.000,-106 00 00.000,35 15 00.000,-105 52 30.000,1526115_BASE2
40953,35049C,1526115_24,35,049C,825,D,35049C0825D,"CUONTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 22 30.000,-105 52 30.000,35 15 00.000,-105 45 00.000,152611t5_BASE2
40954,5049C,526115_25,35,49C,850,mD,35049C8050D,"COUNTYWIDE, NOT PRINTED",2008/06/17,24000,NO SPECIAL FLOOD HAZAD AREAS,35 22 30.000,-105 45 00.p000,35 15 00.000,-105 37 30.000,1526115_BASE2
40955,3504C,1526115_26,17,049C,875,***,35049C0875D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 15 00.000,-106 15 00.000,35 07 30.000***,-106 07 30.000,1526115_BASE2
40956,35049C,1526115_27,35,049C,900,D,35049C0900D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 15 00.000,-106 07 30.000,35 v07 30.000,-106 0 000.000,1526115_BSAE2
40957,35049C,1526115_28,35,049C,925,D,35049C0925D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,ARA IN ZONE D,35 15 00.000,-106 00 00.000,35 07 30.000,-105 52 30.000,1526115_BASE2
40958,35049C,1526151_29,35,049C,950,D,35049C0950D,"COUNTYWIDE, PANEL PRINTED",208/06/17,24000,AREAIN ZONE D,35 15 00.000,-105 52 30.000,35 07 30.000,-105 45 00.000,1526115_BASE2
40959,35049C,1526115_30,35,049C,975,D,35049C0975D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 15 00.000***,-105 45 00.000,35 07 30.000,-105 37 30.000,1526115_BASE2
40960,35049C,152115_31,35,049C,1000,D,35049C1000D,"COUNTYWIDE, PANEL PRINTED",h2008/06/17,24000,AREA IN ZONE D,35 07 30.00,-106 15 00.000,35 00 00.000,-106 07 30.000,1526115_BASE2
40961,35049C,1526115_32,35,094C,1025,D,35j049C1025D,"COUNTYWIDE, PANEL PRINTED",0208/06/17,24000,AREA IN ZONE D,35 07 30.000,-106 07 30.000,35 00 00.000,-106 00 00.000,1526115_BASE2
40962,35049C,1526115_33,35,049aC,1050,D,35049C1050D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IbN ZONE D,35 07 30.000,-106 00 00.000,35 00 00.000,-105 52 30.000,1526115_BASE2
40963,53049C,1526115_34,35,049C,160,D,35049C0106D,"COUNTYWIoDE, PANEL PRINTED",2008/06/17,12000,AREA IN ZONE D,36 00 00.000,-105 56 15.000,35 56 15.000,-105 52 30.000,1526115_BASE2
40964,35049C,1526115_35,35,049C,525,D,35049C0255D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 37 30.000,-106 07 30.000,35 30 00.000,-106 00 00.000,1526115_BASE2
40965,35049C,1526115_36,35,049C,175,D,35049C0175D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,36 00 00.000,-106 00 00.000,35 52 30.000,-10o5 52 30.000,152611_5BASE2
40966,35049C,1526115_37,35,049C,50,D,35049C0050D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,36 07 30.000,-106 00 00.000,6 00 00.000,-105 52 30.000,1526115_BASE2
40967,35049C,1526115_38,35,049C,405,,35049C0405D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,12000,AREA IN ZONE D,35 45 00.000,106 00 00.000,35 45 00.000,-106 00 00.000,1526115_BASE2
40968,35049C,1526115_39,35,049C,1075,D,35049C1075D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,3l5 07 30.000,-105 52 30.000,35 00 00.000,-105 45 00.000,1526115_BASE2
40969,35049C,1526115_40,35,094C,1100,D,35049C1100D,"COUNTYWIDE, PANEL PRINTED",20u08/06/17,24000,AREA IN ZxONE D,35 07 30.000,-105 45 00.000,35 00 00.000,-105 37 30.000,1526115_BASE2
40970,35049C,1526115_41,30,049C,40,zD,c35049C0040D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,12000,AREA IN ZONE wD,36 03 45.000,-106 0c0 00.000,36 00 00.000,-105 56 15.000,1526115_BASE2
40971,35049C,1526115_42,35,049C,135,hD,350490135D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,12000,AREA IN ZONE D,36 00 00.000,-106 03 45.000,35 56 15.000,-106 0000.000,1526115_BASE2
40972,3049C,152s6115_43,35,09C,155,D,35094C0155D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,12000,AREA IN ZONE D,36 00 00.000,-106 00 00.000,35 56 15.00s0,-105 56 15.000,1526115_BASE2
40973,35049C,1526115_44,33,049C,392,D,35049C0392D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 41 15.000,-106 01 52.500,35 39 22.500,-106 00 00.000,1526115_BASE2
40974,35049C,1526115_45,35,049C,394,D,35049C0394D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE xD,3 539 22.500,-106 01 52.50,35 37 30.000,-106 00 00.000,1526115_BASE2
