rowid,year,location_abbr,location_desc,data_source,priority_area_one,priority_area_two,priority_area_three,priority_area_four,category,topic,indicator,data_value_type,data_value_unit,data_value,data_value_alt,data_value_footnote_symbol,data_value_footnote,confidence_interval_low,confidence_interval_high,break_out_category,break_out,category_id,topic_id,indicator_id,data_value_type_id,break_out_category_id,break_out_id,location_id,geo_location
NHANES~2015-2016~59~NH401~RAC07~Crude,2011-2012,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Obesity,Prevalence of obesity among US adults (20+); NHANES,Crude,Percent (%),39.4,39.4,NULL,NULL,34.8,44.2,ge,45-64,C2,T1,NH071,Crude,BO03,AGE05,59,NULL
NHANES~2003-2004~59~NH401~GEN02~Crude,2017-2018,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Obesity,Prevalence of obesity among US adults (20+); NHANES,Crude,Percent (%),43.0,43.0,NULL,NULL,37.9,48.2,Gender,Non-Hispanic White,C2,T4,NH004,Crude,BOC02,RAC04,59,NULL
NHANES~2003-2004~59~NH072~AGE08~Crude,2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); NHANES,Crude,Percent (%),12.4,12.4,NULL,NULL,11.0,14.0,Race,20-24,C2,T1,NH003,Crude,BOC04,AGE07,59,NULL
NHANES~2017-2018~59~NH603~OVR01~Age-Standardized,2015-2016,US,United States,NHANES,None,None,None,None,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); NHANES,Crude,Percent (%),13.1,13.1,NULL,NULL,11.2,15.3,Gender,Non-Hispanic White,C2,T4,NH003,Crude,BOC02,RAC01,59,NULL
NHANES~2003-2004~59~NH072~AGE08~Crude,2013-2014,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Heart Failure,Prevalence of heart failure among US adults (20+); NHANES,Crude,Percent (%),0.0,0.0,NULL,NULL,NULL,NULL,Age,Other,C1,T10,NH303,Crude,BOC03,OVR01,59,NULL
NHANES~2009-2010~59~NH063~AGE08~Crude,2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); NHANES,Crude,Percent (%),12.6,12.6,NULL,NULL,11.4,13.9,Age,Non-Hispanic White,C2,T11,NH005,Crude,BOC03,AGE07,59,NULL
NHANES~2003-2004~59~NH072~AGE08~Crude,2013-2014,US,United States,NHANES,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (20+); NHANES,Crude,Percent (%),9.5,9.5,NULL,NULL,8.2,11.0,Age,Non-Hispanic White,C1,T21,NH603,Crude,BOC03,RAC04,59,NULL
NHANES~2003-2004~59~NH072~AGE08~Crude,2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Obesity,Prevalence of healthy weight among US adults (20+); NHANES,Crude,Percent (%),33.8,33.8,NULL,NULL,30.1,37.8,Age,Overall,C2,T1,NH002,Crude,BOC03,RAC04,59,NULL
NHANES~2011-2012~59~NH021~AGE07~Crude,2009-2010,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cardiovascular Disease,Prevalence of poor Cardiovascular Health among US adults (20+); NHANES,Crude,Percent (%),0.0,0.0,NULL,NULL,NULL,NULL,Age,Non-Hispanic White,aC2,T21,NH101,Crude,BOC03,AGE02,59,NULL
NHANES~2009-2010~59~NH002~RAC01~Crude,2005-2006,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Obesity,Prevalence of poor BMI status among US adults (20+); NHANES,Crude,Percent (%),34.2,34.2,NULL,NULL,31.4,37.1,Overall,Overall,C2,T4,NH601,Crude,BOC04,RAC01,59,NULL
NHANES~2015-2016~59~NH067~GEN01~Crude,2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of low HDL (high-density lipoprotein) cholesterol among US adults (20+); NHANES,Crude,Percent (%),20.5,20.5,NULL,NULL,19.1,21.9,Age,Female,C2,T4,NH064,Crude,BOC04,AGE07,59,NULL
NHANES~2011-2012~59~NH021~AGE07~Crude,2009-2010,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Fkactors,Major Cardiovascular Disease,Prevalence of poor Cardiovascular Health among US adults (20+); NHANES,Age-Standardized,Percent (%),0.9,0.9,NULL,NULL,0.5,1.5,Gender,Female,Cu2,T21,NH101,AgeStdz,BOC0z2,GEN02,59,NULL
NHANES~2003-2004~59~NH067~OVR01~Crude,2013-2014,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Fcators,Cholesterol Abnormalities,Prevalence of ideal cholesterol status among US adults (20+); NHANES,Age-Standardized,Percent (%),48.4,48.4,NULL,NULL,44.2,52.7,Race,Non-Hispanic White,2,T10,NH303,AgeStdz,BOC40,AGE07,59,NULL
NHANES~1999-2000~59~NH003~RAC01~Crude,2009-2010,US,United States,NHANES,None,None,None,None,Cardiovaoscular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (20+); NHANES,Crude,Percent (%),3.7,3.7,NULL,NULL,3.0,4.7,ace,Non-Hispanic White,C1,T4,NH003,Crude,BC04,RAC02,59,NULL
NHANES~1999-2000~59~NH003~RAC01~Crude,1999-2000,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (20+); NHANES,Crude,Percent (%),3.5,3.5,NULL,NULL,3.0,4.1,aRce,Non-Hispanic White,C1,T4,NH003,Crude,BOC40,AGE08,59,NULL
NHANES~1999-2000~59~NH021~RAC04~Crude,2013-2014,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of poor HbA1c or fasting glucose status among US adults (20+); NHANES,Crude,Percent (%),18.1,18.1,NULL,NULL,16.4,20.0,Gender,Other,2,T10,NH401,Crude,BOC04,GEN02,59,NULL
