Period,Abstracts,Downloads,Unnamed: 3
2015 Jul,2,4,
2015 Jun,1,1,
2015 May,2,4,
2015 Apr,1,0,
2015 Mar,2,2,
2015 Feb,1,6,
2015 Jan,0,2,
2014 Dec,1,0,
2014 Nov,0,1,
2014 Oct,0,8,
2014 Sep,0,0,
2014 Aug,1,4,
2014 Jul,2,4,
2014 Jun,1,7,
2014 May,1,3,
2014 Apr,1,2,
2014 Mar,1,7,
2014 Feb,0,0,
2014 Jan,1,1,
2013 Dec,1,2,
2013 Nov,3,2,
2013 Oct,0,2,
2013 Sep,0,0,
2013 Aug,0,1,
2013 Jul,2,4,
2013 Jun,1,2,
2013 May,3,4,
2013 Apr,0,0,
2013 Mar,0,1,
2013 Feb,1,2,
2013 Jan,0,1,
2012 Dec,0,4,
2012 Nov,0,10,
2012 Oct,1,10,
2012 Sep,4,3,
2012 Aug,4,5,
2012 Jul,3,5,
2012 Jun,4,2,
2012 May,9,0,
2012 Apr,6,2,
2012 Mar,2,0,
2012 Feb,2,0,
2012 Jan,2,5,
2011 Dec,0,0,
2011 Nov,1,5,
2011 Oct,5,2,
2011 Sep,3,4,
2011 Aug,2,0,
2011 Jul,1,2,
2011 Jun,2,2,
2011 May,16,2,
2011 Apr,19,1,
2011 Mar,20,5,
2011 Feb,2,3,
2011 Jan,1,5,
2010 Dec,0,0,
2010 Nov,5,2,
2010 Oct,6,1,
2010 Sep,8,3,
2010 Aug,4,0,
2010 Jul,8,5,
2010 Jun,3,1,
2010 May,6,3,
2010 Apr,3,3,
2010 Mar,10,2,
2010 Feb,13,4,
2010 Jan,3,4,
2009 Dec,4,1,
2009 Nov,7,4,
2009 Oct,1,1,
2009 Sep,3,6,
2009 Aug,2,2,
2009 Jul,4,2,
2009 Jun,4,2,
2009 May,3,4,
2009 Apr,6,2,
2009 Mar,27,3,
2009 Feb,65,8,
2009 Jan,29,1,
2008 Dec,22,2,
2008 Nov,8,1,
2008 Oct,18,6,
2008 Sep,35,10,
2008 Aug,37,9,
2008 Jul,9,12,
2008 Jun,5,2,
