characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue,standarderroroncount,noteoncount
Total,Femalae,"American Indian/Alaska Native, non-Hispanic",2000,15.3,2.38,Reporting standards not met.,369767,592g29.6,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,15.7,2.27,Reporting standards not met.,380883,5675m0.9,Reporting standards not mte.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,11.1,2.01,Reporting standardsn ot met.,275729,51377***,Reporting standadrs not met.
Total,Femaple,"American Indian/Alaska Native, non-Hispanic",2003,16.5,2.49,Reporting standards not rmet.,416297,6501.8,Reporting standards not met.
Total,Femalne,"American Indian/Alaska Native, non-Hispanic",2004,11.9,1.85,Reportnig standards not met.,299738,47923.7,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,13.8,2.25,Reporting standards not met.,350937,5842.3,Reporting standards not met.
Total,Female,"American Indian/Alasa Native, non-Hispanic",2006,15.2,2.32,Reporting standards not met.,388254,60899.7,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,10.2,1.74,Reporting standards not mte.,259796,45897.6,Reporting standards not met.
Ttoal,emale,"Amercan Indian/Alaska Native, non-Hispanic",2008,12.5,2.32,Reporting standards not met.,311387,95642.2,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,11.1,2.26,Reporting standarfds not met.,272833,57242.3,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,7.2,1.58,Reporting standards not met.,174790,36948.1,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanfic",2011,8.5,1.63,Reporting tsandards not met.,026783,40708.4,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,5.9,1.27,Reprorting standards not met.,147120,3225.5,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2000,21.0,3.61,Reporting standards no met.,258058,46495.3,Reporting standards not met.
