488.object_id,545.0,488
947.object_id,8.0,947
891.object_id,8.0,891
154.reqid,694607.0,699653
3859.request_date,2020/05/07 0:59:59+00,2020/05/07 03:59:59+00
2582.personpremise,BIGO HALLS,BINGO HALLS
666.reqid,695082.0,701240
612.reqid,695019.0,697214
1747.request_date,2020/05/27 03:59:59+00***,2020/05/27 03:59:59+00
390.reqid,695466.0,697044
1047.reqid,695544.0,700612
359.reqid,694502.0,694384
1065.object_id,5.0,1065
354.object_id,4.0,354
4348.request_date,2l021/03/05 05:00:00+00,2021/03/05 05:00:00+00
345.object_id,7.0,345
623.reqid,698346.0,698381
71.reqid,693745.0,694161
328.object_id,15.0,328
320.object_id,4.0,320
106.object_id,27.0,106
78.reqid,697930.0,695977
400.object_id,27.0,400
240.object_id,21.0,240
720.object_id,21.0,720
2648.zip,40273.0,40219.0
80.object_id,6.0,80
225.object_id,19.0,225
924.object_id,19.0,924
1303.personpremise,TALECRIS LPASMA RESOURCES,TALECRIS PLASMA RESOURCES
445.object_id,3.0,445
895.object_id,7.0,895
188.object_id,93.0,188
741.object_id,9.0,741
1079.reqid,697770.0,701801
646.object_id,20.0,646
3388.request_date,2020/11/05 c05:00:00+00,2020/11/05 05:00:00+00
556.object_id,4.0,556
1017.reqid,698346.0,696869
2137.personpremise,ROYALS HOT aCHICKEN,ROYALS HOT CHICKEN
1001.reqid,696134.0,698340
704.object_id,2.0,704
682.object_id,2.0,682
4473.zip,40247.0,40211.0
690.reqid,695019.0,696216
1009.object_id,2.0,1009
1212.personpremise,BELLARMIEN UNIVERSITY,BELLARMINE UNIVERSITY
729.object_id,5.0,729
810.object_id,2.0,810
1116.zip,40315.0,40219.0
902.object_id,3.0,902
3604.zip,40275.0,40243.0
89.reqid,695082.0,697080
980.object_id,21.0,980
1022.object_id,11.0,1022
1073.object_id,20.0,1073
801.object_id,5.0,801
599.object_id,1.0,599
694.object_id,9.0,694
758.object_id,83.0,758
200.object_id,6.0,200
446.object_id,17.0,446
1175.request_date,2020/05q/05 03:59:59+00,2020/05/05 03:59:59+00
321.reqid,695169.0,700840
880.object_id,26.0,880
798.object_id,93.0,798
55.object_id,6.0,55
491.object_id,15.0,491
518.object_id,8.0,518
1747.personpremise,GREAT CLISP,GREAT CLIPS
999.object_id,20.0,999
69.object_id,8.0,69
2915.address_one,2402n S PRESTON ST 40217,2402 S PRESTON ST 40217
385.object_id,7.0,385
1017.object_id,27.0,1017
422.object_id,8.0,422
885.object_id,4.0,885
653.object_id,3.0,653
416.object_id,8.0,416
516.object_id,4.0,516
728.object_id,34.0,728
641.object_id,21.0,641
3399.personpremise,GALAIXE,GALAXIE
946.object_id,2.0,946
644.object_id,6.0,644
1579.address_one,1381 BEECH TS,1381 BEECH ST
3781.request_date,2020/11/23t 05:00:00+00,2020/11/23 05:00:00+00
2879.address_one,3900 SyUMMIT PLAZA DR,3900 SUMMIT PLAZA DR
403.object_id,8.0,403
918.object_id,863.0,918
572.object_id,26.0,572
2802.address_one,2107 CRtUMS LN,2107 CRUMS LN
559.reqid,699788.0,695379
2648.personpremise,CONCyO INC,CONCO INC
897.object_id,321.0,897
1834.request_date,0220/04/20 03:59:59+00,2020/04/20 03:59:59+00
36.object_id,27.0,36
4345.personpremise,REPUBLIC BANK & TRUST OCMPANY,REPUBLIC BANK & TRUST COMPANY
4568.address_one,1301 S 2ND ST,3101 S 2ND ST
1051.object_id,3.0,1051
481.object_id,4.0,481
992.object_id,6.0,992
916.object_id,5.0,916
409.reqid,695466.0,697666
206.reqid,697770.0,695974
511.object_id,3.0,511
103.object_id,7.0,103
4386.request_date,202/01/19 05:00:00+00,2021/01/19 05:00:00+00
604.personpremise,FIRST LADYNAILS,FIRST LADY NAILS
1028.reqid,697770.0,697299
630.reqid,694607.0,699492
4168.address_one,5015 PRESTON HYW,5015 PRESTON HWY
3617.zip,40250.0,40219.0
426.object_id,3.0,426
440.object_id,2.0,440
258.object_id,7.0,258
297.object_id,1.0,297
1347.zip,40221.0,40214.0
238.object_id,5.0,238
68.object_id,2.0,68
325.object_id,5.0,325
987.reqid,695987.0,694428
566.object_id,21.0,566
760.object_id,5.0,760
961.address_one,10500 LEVEN LBVD,10500 LEVEN BLVD
827.object_id,21.0,827
4585.request_date,2002/12/17 05:00:00+00,2020/12/17 05:00:00+00
1066.reqid,696067.0,701367
506.object_id,15.0,506
774.object_id,3.0,774
751.object_id,698.0,751
659.reqid,694957.0,699168
692.object_id,17.0,692
813.object_id,8.0,813
956.object_id,35.0,956
3168.personpremise,THOROBRED LONGE,THOROBRED LOUNGE
991.object_id,11.0,991
3272.zip,40387.0,40299.0
977.object_id,5.0,977
875.object_id,20.0,875
648.reqid,695787.0,694113
2852.address_one,11701GATEWORTH WAY,11701 GATEWORTH WAY
60.object_id,17.0,60
679.object_id,8.0,679
415.object_id,6.0,415
1736.request_date,2020/04/1 03:59:59+00,2020/04/11 03:59:59+00
650.object_id,6.0,650
138.object_id,17.0,138
398.reqid,697480.0,697829
574.reqid,695740.0,696328
1314.request_date,2020/04/24 03:59:59+0,2020/04/24 03:59:59+00
773.reqid,695544.0,698011
771.object_id,34.0,771
1611.address_one,9s92 LONGFIELD AVE,992 LONGFIELD AVE
1175.zip,40251.0,40203.0
302.object_id,6.0,302
1347.personpremise,IC PAC,PIC PAC
3256.address_one,4909 DIjXIE HWY,4909 DIXIE HWY
973.object_id,57.0,973
1063.object_id,15.0,1063
784.reqid,695525.0,700660
739.reqid,696258.0,697057
1024.object_id,26.0,1024
1790.personpremise,JTOWN BEAHC,JTOWN BEACH
1078.object_id,5.0,1078
258.reqid,697120.0,697095
4491.zip,40308.0,40291.0
1060.object_id,27.0,1060
1347.address_one,6629 SOUTHSDE DR,6629 SOUTHSIDE DR
477.object_id,203.0,477
929.object_id,27.0,929
737.object_id,4.0,737
228.object_id,2.0,228
1012.object_id,5.0,1012
133.object_id,4.0,133
4435.address_one,12411 REL RD,12411 REHL RD
3305.request_date,2020/11/1 05:00:00+00,2020/11/11 05:00:00+00
420.reqid,694502.0,699420
3235.address_one,4600r SHELBYVILLE RD,4600 SHELBYVILLE RD
742.object_id,2.0,742
703.object_id,4.0,703
556.address_one,6629 SOUTHSDIE DR,6629 SOUTHSIDE DR
182.reqid,694103.0,696215
323.reqid,695082.0,701335
289.reqid,694957.0,701077
263.reqid,695169.0,697264
56.object_id,27.0,56
736.object_id,323.0,736
587.object_id,3.0,587
652.object_id,5.0,652
2879.request_date,2020/1y0/05 03:59:59+00,2020/10/05 03:59:59+00
4168.personpremise,CAROLINA WESTERN WAR,CAROLINA WESTERN WEAR
671.object_id,26.0,671
663.object_id,2.0,663
676.object_id,100.0,676
824.object_id,343.0,824
4031.personpremise,SOUTHSIDE CHRSITIAN #17,SOUTHSIDE CHRISTIAN #17
433.object_id,9.0,433
613.reqid,695787.0,697217
393.reqid,694505.0,697340
556.request_date,y2020/04/11 03:59:59+00,2020/04/11 03:59:59+00
1057.object_id,19.0,1057
848.object_id,1.0,848
2474.personpremise,AMERICAN LEGON DIXIE POST #1,AMERICAN LEGION DIXIE POST #1
383.object_id,222.0,383
985.object_id,8.0,985
116.object_id,3.0,116
192.object_id,4.0,192
713.reqid,696834.0,694222
107.object_id,6.0,107
769.object_id,5.0,769
852.reqid,694502.0,700266
370.address_one,4041 TAYORSVILLE RD,4041 TAYLORSVILLE RD
244.reqid,696793.0,699213
892.object_id,6.0,892
1736.personpremise,GRACE TMEPLE,GRACE TEMPLE
559.object_id,5.0,559
434.object_id,2.0,434
521.object_id,261.0,521
148.object_id,26.0,148
1095.object_id,184.0,1095
25.object_id,15.0,25
3859.personpremise,KROGER L-3s27,KROGER L-327
461.object_id,58.0,461
762.object_id,9.0,762
3335.personpremise,J-TOWN BINGO AHLL,J-TOWN BINGO HALL
2848.address_one,9125GALENE DR,9125 GALENE DR
3546.zip,40317.0,40299.0
1716.address_one,222 EILR AVE,222 EILER AVE
867.object_id,1.0,867
432.object_id,3.0,432
489.object_id,58.0,489
1046.object_id,5.0,1046
836.personpremise,CONSTRUCTnION WORKERS,CONSTRUCTION WORKERS
383.reqid,695787.0,696789
195.reqid,694505.0,696961
768.object_id,224.0,768
137.object_id,3.0,137
4683.address_one,9202 S 7TH ST,2902 S 7TH ST
219.reqid,695740.0,696829
684.reqid,697157.0,695893
825.reqid,695019.0,698295
172.object_id,11.0,172
101.object_id,3.0,101
70.object_id,7.0,70
295.object_id,5.0,295
654.object_id,333.0,654
852.object_id,2.0,852
597.object_id,1.0,597
250.object_id,1.0,250
463.reqid,693745.0,697976
858.reqid,696258.0,695727
317.object_id,5.0,317
3587.address_one,22t24 DUNDEE RD,2224 DUNDEE RD
4168.zip,40270.0,40213.0
666.object_id,8.0,666
1716.personpremise,ASPIRATIOS FITNESS,ASPIRATIONS FITNESS
81.reqid,696258.0,696049
575.reqid,696229.0,696381
278.object_id,21.0,278
410.object_id,19.0,410
898.object_id,9.0,898
488.reqid,695362.0,693910
386.object_id,4.0,386
787.reqid,696394.0,700818
690.object_id,58.0,690
1401.address_one,4017 BROWNS LN,4107 BROWNS LN
22.object_id,4.0,22
851.reqid,695019.0,697867
997.object_id,2.0,997
1726.request_date,2020/04/08 03:59:59+0y0,2020/04/08 03:59:59+00
394.reqid,694957.0,697352
3326.request_date,2020/07/2 803:59:59+00,2020/07/28 03:59:59+00
645.reqid,695082.0,702414
111.object_id,6.0,111
930.object_id,5.0,930
1068.reqid,698405.0,696129
541.object_id,463.0,541
854.object_id,83.0,854
919.object_id,7.0,919
158.object_id,3.0,158
1747.address_one,6411 UDTCHMANS PKWY,6411 DUTCHMANS PKWY
212.object_id,26.0,212
128.reqid,693745.0,693538
2879.personpremise,STONEYh RIVER LEGENDARY STEAKS,STONEY RIVER LEGENDARY STEAKS
792.object_id,6.0,792
823.object_id,3.0,823
536.reqid,694957.0,696377
713.object_id,394.0,713
613.object_id,58.0,613
685.object_id,4.0,685
850.reqid,695466.0,694514
3388.personpremise,RERCEONICS INC,RECREONICS INC
504.object_id,1.0,504
